timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1700128920,Nov 16 2023 - 10:02am,complete,N/A,Japan,Myanmar,Muhammad Taqi Aljaafari bin Jahari,1,0.00,2.00,2.56,0.63,5,0,5,3,3,0,"50,11,28,45'4,86","",14,1,0,0,1,0,0,0,1,0,32,0,15,0,17,0,7,12,83,17,0.00,0.87,0.00,0.00,1.50,25,25,25,25,25,0,25,25,25,6.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Suita City Football Stadium
1700132400,Nov 16 2023 - 11:00am,complete,N/A,Philippines,Vietnam,Rustam Lutfullin,2,0.00,0.00,0.17,1.00,0,2,2,1,0,1,"","16,90'4",-1,-1,2,0,3,0,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Rizal Memorial Stadium
1700132400,Nov 16 2023 - 11:00am,complete,N/A,South Korea,Singapore,Bijan Heydari,2,0.00,3.00,2.38,0.88,5,0,5,1,1,0,"44,49,63,68,85","",-1,-1,1,0,3,0,0,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,1.94,0.00,0.00,1.00,25,25,25,0,0,25,25,0,50,9.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700137800,Nov 16 2023 - 12:30pm,complete,N/A,Thailand,China,Salman Ahmad Flahi,2,0.00,0.00,1.33,1.06,1,2,3,2,1,1,"23","29,74",-1,-1,0,0,4,0,0,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700139600,Nov 16 2023 - 1:00pm,complete,N/A,Malaysia,Kyrgyzstan,Ammar Ebrahim Hasan Mahfoodh,2,0.00,0.00,1.67,1.19,4,3,7,3,1,2,"7,72,77,90'3","42,44,57",-1,-1,2,0,2,0,2,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadium Nasional Bukit Jalil
1700139600,Nov 16 2023 - 1:00pm,complete,N/A,Tajikistan,Jordan,Ali Sabah Adday Al Qaysi,2,0.00,0.00,1.33,1.81,1,1,2,0,0,0,"89","90'3",-1,-1,0,0,2,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700143200,Nov 16 2023 - 2:00pm,complete,N/A,Turkmenistan,Uzbekistan,Hiroyuki Kimura,2,0.00,0.00,0.33,2.19,1,3,4,1,1,0,"44","57,77,90'1",-1,-1,3,0,1,0,0,3,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700143200,Nov 16 2023 - 2:00pm,complete,N/A,Lebanon,Palestine,Adham Mohammad Tumah Makhadmeh,2,0.00,0.00,1.00,1.13,0,0,0,0,0,0,"","",-1,-1,2,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700145000,Nov 16 2023 - 2:30pm,complete,N/A,Iran,Hong Kong,Muhammad Nazmi bin Nasaruddin,2,0.00,1.50,2.31,0.63,4,0,4,2,2,0,"12,15,87,90'2","",-1,-1,1,0,2,0,0,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,2.61,0.00,0.00,1.50,0,50,25,25,0,25,50,0,25,8.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Azadi Stadium
1700145900,Nov 16 2023 - 2:45pm,complete,N/A,Iraq,Indonesia,Ahmed Eisa Mohamed,2,0.00,3.00,2.05,1.40,5,1,6,3,2,1,"20,35,60,81,88","45'3",-1,-1,0,0,2,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,2.24,0.00,0.00,3.00,0,50,50,50,50,50,50,50,50,9.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
