Partido_ID,Local,Visitante,Goles_Local,Goles_Visitante,Local_GF_Prom,Local_GC_Prom,Visita_GF_Prom,Visita_GC_Prom,Target_Ganador
218,Ipswich Town,Man City,0,6,1.0,1.4375,2.0,1.375,2
219,Chelsea,Wolves,3,1,1.625,1.4375,1.1875,2.3125,1
220,Liverpool,Ipswich Town,4,1,2.3125,1.0625,0.6875,2.5,1
221,Wolves,Arsenal,0,1,0.875,2.5625,2.1875,0.8125,2
222,Brighton,Everton,0,1,1.625,1.125,0.875,1.1875,2
223,Southampton,Newcastle,1,3,0.75,3.0,2.3125,1.4375,2
224,AFC Bournemouth,Nott'm Forest,5,0,2.125,0.9375,2.0,0.9375,1
225,Man City,Chelsea,3,1,2.875,1.125,2.0625,1.3125,1
226,Crystal Palace,Brentford,1,2,1.5625,0.8125,2.0,1.5625,2
227,Tottenham,Leicester City,1,2,1.625,2.25,0.625,2.3125,2
228,Aston Villa,West Ham,1,1,1.25,1.25,1.25,2.5,0
229,Fulham,Man United,0,1,1.8125,1.4375,1.625,1.9375,2
230,Nott'm Forest,Brighton,7,0,1.5625,1.875,1.4375,1.125,1
231,Newcastle,Fulham,1,2,2.5625,1.4375,1.5,1.3125,2
232,Everton,Leicester City,4,0,1.0625,1.0625,0.8125,2.0,1
233,AFC Bournemouth,Liverpool,0,2,2.6875,0.8125,2.8125,1.5,2
234,Ipswich Town,Southampton,1,2,0.625,2.9375,0.875,2.875,2
235,Wolves,Aston Villa,2,0,0.75,2.125,1.5625,1.4375,1
236,Man United,Crystal Palace,0,2,1.3125,1.6875,1.5625,1.0,2
237,Brentford,Tottenham,0,2,1.5,1.6875,1.625,2.3125,2
238,Arsenal,Man City,5,1,2.0,0.5625,2.9375,1.0625,1
239,Chelsea,West Ham,2,1,1.9375,1.75,1.1875,1.875,1
240,Everton,Liverpool,2,2,1.8125,0.6875,2.8125,1.25,0
241,Brighton,Chelsea,3,0,1.125,2.25,1.75,1.625,1
242,Leicester City,Arsenal,0,2,0.625,2.4375,2.5625,0.75,2
243,Southampton,AFC Bournemouth,1,3,1.0625,2.375,2.375,0.9375,2
244,West Ham,Brentford,0,1,0.9375,1.8125,1.1875,1.625,2
245,Aston Villa,Ipswich Town,1,1,1.5,1.5625,0.8125,3.0,0
246,Man City,Newcastle,4,0,2.6875,1.75,2.1875,1.625,1
247,Fulham,Nott'm Forest,2,1,1.4375,1.0625,2.75,1.5625,1
248,Crystal Palace,Everton,1,2,1.625,1.0,1.5625,0.8125,2
249,Liverpool,Wolves,2,1,2.3125,1.3125,1.125,1.5,1
250,Tottenham,Man United,1,0,1.875,2.0,0.9375,1.8125,1
251,Aston Villa,Liverpool,2,2,1.4375,1.5625,2.25,1.0625,0
252,Leicester City,Brentford,0,4,0.5,2.4375,1.125,1.25,2
253,Everton,Man United,2,2,1.8125,1.0,0.6875,1.4375,0
254,Ipswich Town,Tottenham,1,4,0.9375,2.3125,1.625,1.375,2
255,Fulham,Crystal Palace,0,2,1.5,1.1875,1.4375,1.25,2
256,Arsenal,West Ham,0,1,2.5,0.6875,0.8125,1.6875,2
257,AFC Bournemouth,Wolves,0,1,2.3125,0.9375,1.125,1.375,2
258,Southampton,Brighton,0,4,1.0,2.5,1.1875,2.0,2
259,Aston Villa,Chelsea,2,1,1.3125,1.5,1.125,1.875,1
260,Newcastle,Nott'm Forest,4,3,1.9375,1.625,2.375,1.5625,1
261,Man City,Liverpool,0,2,2.5625,1.625,2.0625,1.4375,2
262,Brighton,AFC Bournemouth,2,1,1.875,1.6875,1.625,1.0625,1
263,Crystal Palace,Aston Villa,4,1,1.5,0.9375,1.5625,1.3125,1
264,Wolves,Fulham,1,2,1.25,1.125,1.375,1.3125,2
265,Chelsea,Southampton,4,0,1.0625,1.8125,0.875,2.5625,1
266,Nott'm Forest,Arsenal,0,0,2.8125,1.625,2.1875,0.75,0
267,Brentford,Everton,1,1,1.5625,1.0,1.6875,1.375,0
268,Tottenham,Man City,0,1,1.9375,1.3125,2.125,1.75,2
269,Man United,Ipswich Town,3,2,0.8125,1.75,0.875,2.5,1
270,Liverpool,Newcastle,2,0,2.0625,1.0625,2.0625,2.0625,1
271,West Ham,Leicester City,2,0,0.8125,1.5,0.25,2.8125,1
272,Nott'm Forest,Man City,1,0,1.8125,1.625,2.125,1.0,1
273,Brighton,Fulham,2,1,2.1875,0.9375,1.5,1.375,1
274,Crystal Palace,Ipswich Town,1,0,1.9375,0.8125,1.125,2.5625,1
275,Liverpool,Southampton,3,1,1.9375,0.625,0.625,3.1875,1
276,Brentford,Aston Villa,0,1,1.75,0.8125,1.75,1.8125,2
277,Wolves,Everton,1,1,1.0,1.5,1.5625,1.25,0
278,Tottenham,AFC Bournemouth,2,2,1.5,1.125,1.625,1.1875,0
279,Chelsea,Leicester City,1,0,1.5625,1.6875,0.25,2.5,1
280,Man United,Arsenal,1,1,1.375,1.6875,2.375,0.6875,0
281,West Ham,Newcastle,0,1,1.0,1.1875,1.6875,2.1875,2
282,Everton,West Ham,1,1,1.5,1.1875,0.9375,1.25,0
283,Ipswich Town,Nott'm Forest,2,4,1.0,2.5625,1.8125,1.375,2
284,Man City,Brighton,2,2,1.5625,1.125,2.1875,1.125,0
285,Southampton,Wolves,1,2,0.6875,3.3125,0.9375,1.4375,2
286,AFC Bournemouth,Brentford,1,2,1.625,1.4375,1.625,1.0,2
287,Arsenal,Chelsea,1,0,2.6875,0.9375,1.6875,1.1875,1
288,Fulham,Tottenham,2,0,1.3125,1.5625,1.75,1.4375,1
289,Leicester City,Man United,0,3,0.1875,2.25,1.5625,1.625,2
290,Arsenal,Fulham,2,1,1.8125,0.8125,1.5625,1.1875,1
291,Wolves,West Ham,1,0,1.0625,1.5,1.0,1.125,1
292,Nott'm Forest,Man United,1,0,2.0625,1.25,1.875,1.25,1
293,AFC Bournemouth,Ipswich Town,1,2,1.6875,1.5625,1.125,2.8125,2
294,Brighton,Aston Villa,0,3,1.9375,1.375,2.0,1.0,2
295,Man City,Leicester City,2,0,1.8125,1.25,0.1875,2.1875,1
